strategy,sharpe_full,sharpe_is,sharpe_oos,sharpe_nocost,cost_drag,sortino_oos,max_dd_full,hit_rate,profit_factor,trades_per_day,avg_hold_bars,turnover
volregime_low_l6,-2.3773657554806102,-1.773065115638095,-3.5311543519722024,2.0511406924974356,4.428506447978046,-2.0958235825839786,-0.05733630559067793,0.4198473282442748,0.9830839535701728,2.977272727272727,2.83206106870229,262.0
volregime_high_l6,-5.2204034813935865,-5.9128767803470526,-3.6137407563155213,-0.2341166170619727,4.986286864331614,-2.0398744811648952,-0.09128894229990192,0.3669064748201439,0.7476006217907364,3.159090909090909,2.697841726618705,278.0
tsmom_n6,-7.9052029516640845,-9.485573362654034,-4.294820376153822,0.14259553650708764,8.047798488171171,-6.077473643440746,-0.3502426260587653,0.2864,0.6952306753870324,14.204545454545455,4.9984,1249.0
orb_60m,-3.3446940906638867,-2.8251457431147853,-4.4891201395252045,-2.423494682076138,0.9211994085877486,-5.228700274393633,-0.19632755260040669,0.4067796610169492,0.6930806657993944,1.3409090909090908,35.30508474576271,117.0
tod_lunch_S,-0.3554188209797088,1.6977642607837906,-4.961834921161307,1.2367506046651462,1.592169425644855,-4.1463878022861165,-0.0596884914755732,0.45454545454545453,1.0672174863947954,1.0,18.0,88.0
tsmom_n3,-11.288877252642308,-14.0398953452554,-5.132442799669401,-0.3594762029019887,10.929401049740319,-7.673096388788431,-0.4676402678305541,0.2953020134228188,0.6634638023582757,20.318181818181817,3.6420581655480984,1787.0
rsi2_lo5,-4.8800744547222354,-4.611838637137918,-5.437002063440783,0.2637250844846874,5.143799539206923,-4.861754846274133,-0.13618258256573934,0.6079295154185022,0.8322745822762366,5.159090909090909,3.806167400881057,454.0
boll_w20_k2.0,-1.8323272612271213,0.24922342210261805,-6.345014604386134,0.5182473127441279,2.350574573971249,-6.276965442394694,-0.11994798179142907,0.6218487394957983,0.9316395003788158,2.7045454545454546,10.932773109243698,238.0
boll_w20_k2.5,-2.0723386390509533,-0.06359817447623511,-6.624986506585682,-0.6835265069038434,1.3888121321471099,-4.951183927510434,-0.0827505909330859,0.5576923076923077,0.786425414897903,1.1818181818181819,12.865384615384615,104.0
gap_continuation_h3,-3.1729031533409873,-0.5259378041276846,-8.02990499101793,-1.3801399091545832,1.792763244186404,-2.46639765520842,-0.058413672500780556,0.45,0.6954496154132663,0.9090909090909091,3.0,80.0
tod_first_hour_S,-5.309104669210858,-3.7709703675133928,-8.541553939338865,-4.28373693340502,1.0253677358058377,-5.172398731528392,-0.13691491080308804,0.4090909090909091,0.41587684266539293,1.0,12.0,88.0
tod_last_hour_L,-5.114873205817793,-3.6133270405221745,-8.614323835319865,-4.098149065053853,1.01672414076394,-4.966438754147477,-0.1430299094062294,0.3181818181818182,0.4812606321904957,1.0,11.0,87.0
volregime_low_l12,-8.472157170460825,-8.226117357542032,-8.973135965284476,-4.502139762791169,3.9700174076696566,-5.184652773336923,-0.16071047516616477,0.30952380952380953,0.45871575711766394,2.8636363636363638,3.8015873015873014,252.0
rsi2_lo10,-7.351860200202773,-6.1434919048137635,-10.038286499685286,-0.682318746394645,6.669541453808128,-11.067211625092414,-0.2315024128759029,0.5883977900552486,0.7674737247606453,8.227272727272727,3.685082872928177,724.0
gap_continuation_h6,-6.231855715347134,-2.6586038660945883,-13.127535290784804,-4.972513146276116,1.259342569071018,-5.35095687507013,-0.12225509045928984,0.45,0.3907643598619105,0.9090909090909091,6.0,80.0
leadlag_SMH,-21.757231897862148,-24.112390562392726,-16.591962206552946,-1.555947514030941,20.201284383831208,-24.286502658385576,-0.669418164562458,0.2918632075471698,0.5568769676496097,38.54545454545455,1.971698113207547,3391.0
leadlag_NVDA,-21.73829139506877,-23.251827297611104,-18.41713250469025,-1.504206955615573,20.2340844394532,-27.507005130453276,-0.6714994777865255,0.3168724279835391,0.5570331911424511,38.65909090909091,1.9659024103468548,3401.0
